iter	Passed	Remaining
0	9	4880
1	19	4948
2	28	4788
3	38	4758
4	46	4573
5	54	4465
6	61	4338
7	70	4330
8	78	4302
9	87	4288
10	95	4227
11	103	4198
12	110	4135
13	119	4165
14	128	4145
15	136	4119
16	143	4089
17	151	4063
18	159	4028
19	167	4019
20	175	3997
21	183	3988
22	191	3965
23	199	3963
24	207	3942
25	215	3932
26	223	3912
27	231	3901
28	238	3873
29	246	3867
30	254	3848
31	263	3852
32	271	3840
33	279	3833
34	287	3816
35	295	3812
36	303	3792
37	312	3797
38	319	3781
39	328	3775
40	335	3759
41	344	3758
42	352	3741
43	361	3744
44	368	3728
45	378	3732
46	385	3718
47	394	3713
48	402	3702
49	411	3700
50	419	3690
51	427	3681
52	435	3671
53	443	3663
54	451	3654
55	460	3650
56	468	3644
57	478	3645
58	486	3638
59	495	3635
60	505	3635
61	513	3625
62	522	3624
63	530	3613
64	539	3613
65	547	3602
66	556	3596
67	564	3589
68	573	3585
69	582	3581
70	590	3569
71	599	3563
72	607	3551
73	616	3546
74	624	3536
75	632	3528
76	640	3516
77	649	3511
78	656	3501
79	665	3494
80	673	3484
81	682	3480
82	690	3470
83	699	3463
84	706	3451
85	716	3448
86	723	3436
87	732	3429
88	739	3416
89	749	3412
90	756	3400
91	765	3393
92	772	3382
93	781	3375
94	788	3363
95	797	3358
96	805	3348
97	815	3343
98	822	3332
99	831	3325
100	838	3313
101	847	3307
102	855	3298
103	864	3289
104	872	3281
105	880	3273
106	888	3264
107	896	3254
108	904	3244
109	912	3235
110	920	3226
111	929	3219
112	937	3210
113	945	3201
114	953	3192
115	961	3182
116	969	3173
117	977	3165
118	986	3157
119	994	3149
120	1002	3139
121	1010	3130
122	1017	3119
123	1025	3110
124	1033	3099
125	1041	3091
126	1049	3081
127	1057	3074
128	1065	3064
129	1074	3056
130	1081	3046
131	1090	3039
132	1097	3029
133	1106	3021
134	1113	3010
135	1122	3004
136	1130	2995
137	1140	2990
138	1148	2983
139	1157	2975
140	1166	2970
141	1176	2965
142	1185	2958
143	1192	2949
144	1201	2941
145	1208	2931
146	1217	2923
147	1225	2914
148	1233	2906
149	1241	2897
150	1250	2889
151	1258	2880
152	1267	2875
153	1276	2868
154	1285	2862
155	1293	2851
156	1302	2845
157	1309	2834
158	1318	2827
159	1325	2817
160	1340	2822
161	1349	2816
162	1357	2805
163	1366	2799
164	1374	2789
165	1382	2782
166	1390	2772
167	1399	2764
168	1406	2754
169	1414	2746
170	1422	2736
171	1431	2729
172	1440	2722
173	1449	2715
174	1458	2707
175	1467	2701
176	1477	2695
177	1485	2687
178	1494	2680
179	1502	2671
180	1512	2665
181	1520	2656
182	1530	2651
183	1538	2642
184	1547	2635
185	1557	2628
186	1567	2624
187	1575	2615
188	1584	2607
189	1593	2599
190	1601	2590
191	1609	2582
192	1618	2574
193	1628	2568
194	1638	2562
195	1649	2557
196	1661	2555
197	1671	2548
198	1681	2542
199	1690	2536
200	1699	2528
201	1708	2520
202	1718	2514
203	1729	2509
204	1740	2504
205	1749	2497
206	1760	2491
207	1769	2484
208	1779	2477
209	1789	2471
210	1800	2466
211	1810	2460
212	1821	2454
213	1829	2445
214	1838	2436
215	1846	2428
216	1855	2420
217	1865	2413
218	1874	2404
219	1883	2397
220	1890	2387
221	1900	2380
222	1910	2373
223	1918	2363
224	1927	2355
225	1935	2346
226	1944	2338
227	1952	2329
228	1961	2321
229	1968	2311
230	1977	2302
231	1984	2292
232	1993	2284
233	2002	2276
234	2011	2268
235	2018	2258
236	2027	2249
237	2034	2240
238	2044	2232
239	2052	2223
240	2061	2215
241	2069	2206
242	2091	2211
243	2098	2201
244	2108	2194
245	2115	2184
246	2124	2176
247	2133	2168
248	2142	2159
249	2150	2150
250	2159	2141
251	2168	2134
252	2176	2124
253	2184	2116
254	2192	2106
255	2201	2097
256	2208	2088
257	2217	2079
258	2225	2070
259	2234	2062
260	2242	2053
261	2262	2055
262	2270	2046
263	2278	2036
264	2286	2027
265	2294	2018
266	2303	2009
267	2311	2000
268	2320	1992
269	2327	1983
270	2336	1974
271	2343	1964
272	2352	1956
273	2360	1946
274	2369	1938
275	2376	1928
276	2384	1920
277	2393	1911
278	2403	1903
279	2412	1895
280	2422	1887
281	2431	1879
282	2440	1870
283	2449	1863
284	2458	1854
285	2468	1847
286	2478	1839
287	2487	1830
288	2496	1822
289	2505	1814
290	2515	1806
291	2525	1799
292	2534	1790
293	2544	1782
294	2552	1774
295	2563	1766
296	2585	1767
297	2603	1764
298	2615	1758
299	2627	1751
300	2645	1748
301	2659	1743
302	2672	1737
303	2683	1730
304	2693	1721
305	2702	1713
306	2711	1704
307	2719	1695
308	2728	1686
309	2735	1676
310	2744	1667
311	2751	1658
312	2760	1648
313	2767	1639
314	2776	1630
315	2784	1621
316	2792	1612
317	2800	1602
318	2808	1593
319	2816	1584
320	2825	1575
321	2832	1565
322	2840	1556
323	2848	1547
324	2857	1538
325	2864	1529
326	2873	1520
327	2880	1510
328	2888	1501
329	2896	1492
