iter	Passed	Remaining
0	43	21778
1	84	21066
2	123	20489
3	164	20346
4	203	20153
5	243	20047
6	284	20059
7	324	19976
8	366	19970
9	409	20055
10	451	20079
11	496	20207
12	539	20214
13	580	20141
14	620	20066
15	660	19969
16	700	19893
17	739	19801
18	780	19764
19	820	19694
20	860	19628
21	899	19553
22	940	19502
23	980	19444
24	1021	19404
25	1062	19378
26	1103	19339
27	1145	19308
28	1184	19236
29	1226	19208
30	1267	19173
31	1307	19127
32	1348	19088
33	1394	19110
34	1436	19081
35	1482	19111
36	1523	19065
37	1566	19049
38	1606	18994
39	1646	18930
40	1686	18878
41	1726	18825
42	1767	18780
43	1806	18725
44	1846	18669
45	1886	18617
46	1937	18672
47	1978	18629
48	2018	18582
49	2061	18550
50	2102	18513
51	2142	18460
52	2184	18420
53	2222	18359
54	2269	18362
55	2310	18315
56	2350	18264
57	2396	18261
58	2438	18226
59	2485	18223
60	2527	18191
61	2569	18152
62	2623	18199
63	2665	18156
64	2705	18104
65	2744	18046
66	2785	18001
67	2838	18031
68	2879	17986
69	2919	17936
70	2961	17894
71	3003	17855
72	3043	17803
73	3084	17758
74	3126	17714
75	3167	17672
76	3208	17626
77	3250	17584
78	3289	17532
79	3330	17486
80	3376	17464
81	3420	17437
82	3465	17411
83	3507	17369
84	3549	17331
85	3591	17290
86	3631	17238
87	3671	17188
88	3711	17140
89	3753	17098
90	3806	17108
91	3847	17060
92	3886	17009
93	3927	16963
94	3967	16915
95	4007	16866
96	4048	16821
97	4090	16778
98	4129	16726
99	4170	16680
100	4211	16636
101	4252	16591
102	4293	16548
103	4334	16504
104	4381	16484
105	4427	16456
106	4474	16432
107	4518	16399
108	4562	16365
109	4605	16329
110	4647	16288
111	4690	16249
112	4738	16227
113	4778	16180
114	4820	16137
115	4862	16096
116	4917	16098
117	4957	16049
118	4998	16004
119	5040	15962
120	5080	15912
121	5121	15867
122	5160	15817
123	5202	15775
124	5242	15727
125	5284	15684
126	5323	15634
127	5364	15591
128	5410	15559
129	5453	15522
130	5497	15486
131	5540	15445
132	5581	15401
133	5621	15355
134	5660	15304
135	5702	15261
136	5743	15218
137	5782	15169
138	5822	15120
139	5863	15078
140	5903	15031
141	5945	14989
142	5984	14941
143	6024	14894
144	6066	14851
145	6105	14804
146	6148	14765
147	6191	14725
148	6233	14684
149	6273	14638
150	6313	14591
151	6358	14558
152	6402	14521
153	6450	14491
154	6493	14453
155	6537	14416
156	6576	14368
157	6618	14326
158	6658	14280
159	6699	14235
160	6740	14193
161	6781	14148
162	6822	14105
163	6862	14059
164	6919	14048
165	6959	14002
166	6999	13956
167	7046	13926
168	7086	13879
169	7127	13836
170	7168	13791
171	7208	13746
172	7249	13703
173	7291	13660
174	7332	13617
175	7376	13579
176	7419	13539
177	7463	13501
178	7507	13462
179	7549	13420
180	7590	13376
181	7631	13333
182	7671	13289
183	7724	13266
184	7764	13220
185	7804	13175
186	7844	13129
187	7884	13084
188	7926	13043
189	7966	12998
190	8008	12955
191	8048	12911
192	8090	12869
193	8129	12823
194	8172	12782
195	8213	12739
196	8253	12695
197	8293	12650
198	8335	12607
199	8380	12571
200	8425	12533
201	8471	12497
202	8513	12456
203	8555	12413
204	8595	12369
205	8637	12327
206	8676	12280
207	8716	12236
208	8756	12192
209	8795	12146
210	8835	12102
211	8874	12056
212	8914	12011
213	8954	11966
214	8993	11921
215	9032	11876
216	9073	11832
217	9112	11788
218	9153	11744
219	9194	11701
220	9233	11657
221	9273	11613
222	9316	11572
223	9361	11534
224	9412	11504
225	9454	11462
226	9496	11421
227	9538	11378
228	9580	11337
229	9621	11294
230	9664	11253
231	9707	11213
232	9748	11171
233	9790	11129
234	9830	11085
235	9870	11041
236	9910	10998
237	9950	10954
238	9992	10912
