Feature,Importance
X14,40.6
feat_q25,28.4
X21,28.000000000000004
X33_X7_ratio,26.4
X16,26.2
stage2_std,24.799999999999997
X6,24.4
PCA_7,24.0
X13_X36_diff,22.4
X25,21.8
X18,20.8
X31_X29_ratio,18.8
X5,18.4
PCA_5,18.0
X28,17.6
X29_X7_product,17.2
X36_X31_diff,16.2
X30_X29_ratio,16.2
X49,15.799999999999997
X37_X41_diff,15.6
PCA_6,15.2
PCA_10,15.0
X44,14.8
X23,14.200000000000001
PCA_9,14.0
X35_X34_ratio,14.0
X32,12.6
X12,12.399999999999999
X2,12.0
X26,11.8
X43,11.799999999999999
X30_X31_ratio,11.200000000000001
X13_X36_ratio,11.2
stage1_stage2_mean_ratio,10.799999999999999
X47,10.600000000000001
gmm_score,10.6
X9,10.6
X37_X33_diff,10.4
feat_median,10.2
X27,10.0
stage1_stage3_mean_diff,10.0
X46,10.0
X32_X33_ratio,9.8
X20,9.4
X48,9.200000000000001
stage1_std,9.0
X13_X10_ratio,9.0
X24,9.0
X10_X32_product,8.8
X13_X30_ratio,8.600000000000001
X19,8.6
X7_X4_product,8.4
X4_X15_ratio,8.2
X8,8.2
kmeans_5_dist,8.2
X17,8.0
kmeans_3_dist,8.0
X10_X31_ratio,8.0
stage3_range,8.0
stage1_stage5_mean_diff,7.800000000000001
PCA_4,7.6000000000000005
isolation_score,7.4
stage2_stage3_mean_diff,7.4
X7,7.4
feat_q75,7.3999999999999995
X13,7.200000000000001
stage1_stage3_mean_ratio,7.2
feat_above_median_count,7.2
stage1_stage2_mean_diff,7.2
X1,7.2
X41_X15_diff,7.199999999999999
stage3_min,6.8
X36_X34_diff,6.8
X41_X15_ratio,6.8
feat_iqr,6.6
stage4_stage5_mean_ratio,6.6
feat_energy,6.6
feat_mean,6.6
kmeans_8_dist,6.6
stage3_std,6.4
X32_X29_ratio,6.2
X41_X4_diff,6.2
z_score_mean,6.0
X29_X33_diff,6.0
stage3_stage5_mean_ratio,6.0
stage4_range,6.0
X7_X4_ratio,5.800000000000001
X10_X30_diff,5.800000000000001
stage2_stage3_mean_ratio,5.800000000000001
feat_skew,5.8
stage3_mean,5.6000000000000005
X31_X32_ratio,5.6000000000000005
PCA_2,5.6
stage1_mean,5.6
X7_X15_product,5.4
X10_X31_diff,5.4
X41_X15_product,5.4
X22,5.4
X29_X41_product,5.3999999999999995
X33_X7_product,5.199999999999999
X31_X32_diff,5.0
X10,5.0
stage2_stage5_mean_diff,4.8
PCA_1,4.8
X34_X30_diff,4.6
X35_X10_product,4.6
stage3_stage4_mean_ratio,4.6
feat_kurtosis,4.4
X32_X41_product,4.4
X3,4.4
X30_X31_diff,4.4
X33,4.4
