Feature,LightGBM,XGBoost,CatBoost,Average
X14,0.9999999997536946,0.20073556473441495,0.8818313664870147,0.694188976991708
X49,0.38916256148050177,0.13681381547025612,0.8331603694713617,0.4530455821407065
X32_X29_diff,0.07881773397073455,0.5654057296929104,0.6182244828719449,0.42081598217852995
X41,0.059113300478050905,0.13817830187297422,0.9999999972229915,0.3990971998580055
X10_X32_product,0.21674876841952,0.818414335701014,0.13014250522956788,0.38843520311670066
feat_q25,0.6995073889902691,0.11268324978444302,0.272751849136955,0.36164749597055573
X35_X13_ratio,0.014778325119512726,0.9999996369156342,0.04438205356358924,0.35305333853291204
X13_X36_diff,0.5517241377951417,0.3829491275629223,0.09819992483900178,0.34429106339902193
PCA_7,0.5911330047805091,0.2215521889534005,0.20577283337797778,0.3394860090372958
stage2_std,0.6108374382731926,0.09693604047218964,0.23170665420559697,0.31316004431699307
feat_max,0.03448275861219636,0.0746807786031838,0.8231758567193288,0.31077979797823635
X13_X10_product,0.10344827583658907,0.7524681685686443,0.05680373528270474,0.3042400598959794
X16,0.6453201968853891,0.16043749207843924,0.10096727190989933,0.3022416536245759
X32_X41_product,0.10837438420976,0.056878130509445714,0.6895063984191553,0.284919637712787
X13_X36_ratio,0.27586206889757087,0.5701176749639304,0.005631586065546433,0.28387044330901595
X21,0.6896551722439274,0.1049563614943329,0.05234737551762325,0.28231963641862784
X18,0.5123152708097746,0.1259165710340281,0.17020370113669972,0.2694785143268341
X35_X36_product,0.044334975358538184,0.7410556933498748,0.011966902476010047,0.26578585706147434
X13_X10_diff,0.024630541865854547,0.7112127336355213,0.05387039664007151,0.2632378907138158
X6,0.6009852215268509,0.09538560453280573,0.08614755110572819,0.26083945905512823
X36_X30_product,0.014778325119512726,0.7184623028921541,0.025209139562671023,0.25281658919144595
PCA_1,0.11822660095610181,0.5686475355955012,0.06643626192114155,0.2511034661575815
X33_X7_ratio,0.65024630525856,0.09594163876386558,0.003918558934981518,0.25003550098580235
X35_X10_ratio,0.004926108373170909,0.5279430166963592,0.20647996968180443,0.24644969825044485
X13,0.17733990143415276,0.5412048396516544,0.017207907030654182,0.24525088270548714
X32_X41_diff,0.059113300478050905,0.6354667265007866,0.03850481213924243,0.24436161303935997
X28,0.43349753683904,0.11328798006523537,0.18226110968407272,0.243015542196116
X30_X29_ratio,0.3990147782268436,0.18207647588969889,0.14275903744583687,0.24128343052079312
X29_X7_product,0.4236453200926982,0.19941432913118745,0.0590318114992011,0.22736382024102889
X25,0.5369458126756291,0.0966684000296779,0.046634408694475354,0.22674954046659412
